context,result,question,A,B,C,D
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[C],Người em đã giải thích ra sao khi gặp chị ở rạp chiếu bóng?,Em đi kiến tập.,Em đi học thêm.,Em đi tập văn nghệ.,Em đi gặp bạn.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[A],Thái độ của ba với hai chị em như thế nào?,Buồn rầu.,Quát phạt.,Tức giận.,Đánh mắng.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[B],Người ba đã nói gì với hai chị em?,"Nói dối rất có hại cho bản thân, các con không được nói dối nữa.",Các con ráng bảo ban nhau mà học cho nên người.,"Nổi trận cuồng phong, quát mắng và phạt hai chị em.","Các con muốn đi chơi thì cứ nói thật, ba đâu có cấm."
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[D],Cô em đã nói gì khiến cô chị tỉnh ngộ ra?,"Ủa, chị cũng đi tập văn nghệ à? Sao lại gặp em ở rạp chiếu bóng?","Ủa, chị chẳng những nói dối còn trách mắng em nữa sao?","Ủa, em đã xin phép ba đi tập văn nghệ rồi mà.","Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà?"
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[C],Điều gì khiến cô chị tỉnh ngộ ra?,Lời nhắc nhở của ba.,Cô chị tự ân hận và tỉnh ngộ.,Lời nói của ba và của cô em.,Lời nói dối ngược của cô em.
"Dắt xe ra cửa, tôi lễ phép thưa:

- Thưa ba, con xin phép đi học nhóm.

Ba tôi mỉm cười:

- Ờ, nhớ về sớm nghe con!

Không biết đây là lần thứ bao nhiêu tôi đã nói dối ba. Mỗi lần nói dối tôi đều ân hận nhưng rồi lại tặc lưỡi cho qua.

Cho đến một hôm, vừa yên vị trong rạp chiếu bóng, tôi chợt thấy em gái mình lướt qua cùng một đứa bạn. Từ ngạc nhiên, tôi chuyển sang giận giữ và mặc lời năn nỉ của bạn, tôi bỏ về. 

Hai chị em về đến nhà, tôi mắng em gái dám nói dối ba bỏ học đi chơi, không chịu khó học hành. Nhưng đáp lại sự giận dữ của tôi, nó chỉ thủng thẳng:

- Em đi tập văn nghệ.

- Mày tập văn nghệ ở rạp chiếu bóng à?

Nó cười, giả bộ ngây thơ:

- Ủa, chị cũng ở đó sao? Hồi nãy chị bảo đi học nhóm mà!

Tôi sững sờ, đứng im như phỗng. Ngước nhìn ba, tôi đợi trận cuồng phong. Nhưng ba tôi chỉ buồn rầu bảo:

- Các con ráng bảo ban nhau mà học cho nên người.

Từ đó, tôi không bao giờ dám nói dối ba đi chơi nữa. Thỉnh thoảng, hai chị em lại cười phá lên khi nhắc lại chuyện nó rủ bạn vào rạp chiếu bóng chọc tức tôi, làm cho tôi tỉnh ngộ.",[C],Nội dung câu chuyện này là gì?,Kể về chuyện ba và hai chị em.,Kể về chị nói dối và nhắc nhở cô em.,Nhắc nhở chúng ta không nên nói dối.,Kể về hai chị em nói dối.
"1. Tháng ba, có giấy trên tỉnh kêu anh Núp đi dự Đại hội thi đua. Núp nói với anh Thế:

- Nên để bok Pa đi. Bok kể được nhiều việc hơn tôi.

Anh Thế cười:

- Không, tỉnh kêu anh đi đấy. Đi để học mà.

2. Núp đi Đại hội về giữa lúc Pháp càn quét lớn. Ban ngày, anh chỉ huy đánh giặc, ban đêm kể chuyện Đại hội cho cả làng nghe. Lũ làng ngồi vây quanh anh. Ông sao Rua mọc lên giữa lòng suối như một chùm hạt ngọc. Tay Núp cầm quai súng chặt hơn. Anh nói với lũ làng: Đất nước mình bây giờ mạnh hung rồi. Người Kinh, người Thượng, con gái, con trai, người già, người trẻ đoàn kết đánh giặc, làm rẫy giỏi lắm. Ở Đại hội, Núp cũng lên kể chuyện làng Kông Hoa. Nghe xong, nhiều người chạy lên, đặt Núp trên vai, công kênh đi khắp nhà, mừng không biết bao nhiêu. Cán bộ nói:

- Pháp đánh một trăm năm cũng không thắng nổi đồng chí Núp và làng Kông Hoa đâu!

Lũ làng nghe tới đó vui quá, đứng hết dậy:

- Đúng đấy! Đúng đấy!

3. Núp mở những thứ Đại hội tặng cho mọi người coi: một cái ảnh Bok Hồ vác cuốc đi làm rẫy, một bộ quần áo bằng lụa của Bok Hồ, một cây cờ có thêu chữ, một huân chương cho cả làng, một huân chương cho Núp. 

Lũ làng đi rửa tay thật sạch rồi cầm lên từng thứ, coi đi, coi lại, coi đến mãi nửa đêm.",[D],Anh Núp được tỉnh cử đi làm gì?,Đi dự thi hội làng.,Đi bầu cử chính quyền.,Đi dự lễ thành lập Đảng.,Đi dự Đại hội thi đua.
"1. Tháng ba, có giấy trên tỉnh kêu anh Núp đi dự Đại hội thi đua. Núp nói với anh Thế:

- Nên để bok Pa đi. Bok kể được nhiều việc hơn tôi.

Anh Thế cười:

- Không, tỉnh kêu anh đi đấy. Đi để học mà.

2. Núp đi Đại hội về giữa lúc Pháp càn quét lớn. Ban ngày, anh chỉ huy đánh giặc, ban đêm kể chuyện Đại hội cho cả làng nghe. Lũ làng ngồi vây quanh anh. Ông sao Rua mọc lên giữa lòng suối như một chùm hạt ngọc. Tay Núp cầm quai súng chặt hơn. Anh nói với lũ làng: Đất nước mình bây giờ mạnh hung rồi. Người Kinh, người Thượng, con gái, con trai, người già, người trẻ đoàn kết đánh giặc, làm rẫy giỏi lắm. Ở Đại hội, Núp cũng lên kể chuyện làng Kông Hoa. Nghe xong, nhiều người chạy lên, đặt Núp trên vai, công kênh đi khắp nhà, mừng không biết bao nhiêu. Cán bộ nói:

- Pháp đánh một trăm năm cũng không thắng nổi đồng chí Núp và làng Kông Hoa đâu!

Lũ làng nghe tới đó vui quá, đứng hết dậy:

- Đúng đấy! Đúng đấy!

3. Núp mở những thứ Đại hội tặng cho mọi người coi: một cái ảnh Bok Hồ vác cuốc đi làm rẫy, một bộ quần áo bằng lụa của Bok Hồ, một cây cờ có thêu chữ, một huân chương cho cả làng, một huân chương cho Núp. 

Lũ làng đi rửa tay thật sạch rồi cầm lên từng thứ, coi đi, coi lại, coi đến mãi nửa đêm.",[A],"Ở Đại hội về, anh Núp kể cho dân làng nghe những gì?",Tình hình kháng chiến toàn quốc.,Những vị anh hùng dân tộc.,Những chiến công của Núp.,Sự giàu đẹp của quê hương.
"1. Tháng ba, có giấy trên tỉnh kêu anh Núp đi dự Đại hội thi đua. Núp nói với anh Thế:

- Nên để bok Pa đi. Bok kể được nhiều việc hơn tôi.

Anh Thế cười:

- Không, tỉnh kêu anh đi đấy. Đi để học mà.

2. Núp đi Đại hội về giữa lúc Pháp càn quét lớn. Ban ngày, anh chỉ huy đánh giặc, ban đêm kể chuyện Đại hội cho cả làng nghe. Lũ làng ngồi vây quanh anh. Ông sao Rua mọc lên giữa lòng suối như một chùm hạt ngọc. Tay Núp cầm quai súng chặt hơn. Anh nói với lũ làng: Đất nước mình bây giờ mạnh hung rồi. Người Kinh, người Thượng, con gái, con trai, người già, người trẻ đoàn kết đánh giặc, làm rẫy giỏi lắm. Ở Đại hội, Núp cũng lên kể chuyện làng Kông Hoa. Nghe xong, nhiều người chạy lên, đặt Núp trên vai, công kênh đi khắp nhà, mừng không biết bao nhiêu. Cán bộ nói:

- Pháp đánh một trăm năm cũng không thắng nổi đồng chí Núp và làng Kông Hoa đâu!

Lũ làng nghe tới đó vui quá, đứng hết dậy:

- Đúng đấy! Đúng đấy!

3. Núp mở những thứ Đại hội tặng cho mọi người coi: một cái ảnh Bok Hồ vác cuốc đi làm rẫy, một bộ quần áo bằng lụa của Bok Hồ, một cây cờ có thêu chữ, một huân chương cho cả làng, một huân chương cho Núp. 

Lũ làng đi rửa tay thật sạch rồi cầm lên từng thứ, coi đi, coi lại, coi đến mãi nửa đêm.",[B],"Khi anh Núp kể về làng Kông Hoa, đại hội cảm thấy như thế nào?",Đại hội rất thích nghe anh Núp kể chuyện.,Đại hội rất khâm phục dân làng Kông Hoa.,Đại hội không tin những chuyện anh Núp kể.,Đại hội giao nhiệm vụ cho dân làng Kông Hoa đánh Pháp.
"1. Tháng ba, có giấy trên tỉnh kêu anh Núp đi dự Đại hội thi đua. Núp nói với anh Thế:

- Nên để bok Pa đi. Bok kể được nhiều việc hơn tôi.

Anh Thế cười:

- Không, tỉnh kêu anh đi đấy. Đi để học mà.

2. Núp đi Đại hội về giữa lúc Pháp càn quét lớn. Ban ngày, anh chỉ huy đánh giặc, ban đêm kể chuyện Đại hội cho cả làng nghe. Lũ làng ngồi vây quanh anh. Ông sao Rua mọc lên giữa lòng suối như một chùm hạt ngọc. Tay Núp cầm quai súng chặt hơn. Anh nói với lũ làng: Đất nước mình bây giờ mạnh hung rồi. Người Kinh, người Thượng, con gái, con trai, người già, người trẻ đoàn kết đánh giặc, làm rẫy giỏi lắm. Ở Đại hội, Núp cũng lên kể chuyện làng Kông Hoa. Nghe xong, nhiều người chạy lên, đặt Núp trên vai, công kênh đi khắp nhà, mừng không biết bao nhiêu. Cán bộ nói:

- Pháp đánh một trăm năm cũng không thắng nổi đồng chí Núp và làng Kông Hoa đâu!

Lũ làng nghe tới đó vui quá, đứng hết dậy:

- Đúng đấy! Đúng đấy!

3. Núp mở những thứ Đại hội tặng cho mọi người coi: một cái ảnh Bok Hồ vác cuốc đi làm rẫy, một bộ quần áo bằng lụa của Bok Hồ, một cây cờ có thêu chữ, một huân chương cho cả làng, một huân chương cho Núp. 

Lũ làng đi rửa tay thật sạch rồi cầm lên từng thứ, coi đi, coi lại, coi đến mãi nửa đêm.",[C],Đại hội tặng dân làng Kông Hoa gồm những gì?,Một cây cờ có thêu chữ.,"Một cái ảnh Bok Hồ vác cuốc đi làm rẫy, một bộ quần áo bằng lụa của Bok Hồ.","Một ảnh Bác, một bộ quần áo của Bác, một cây cờ và huân chương cho Núp và dân làng.","Một huân chương cho cả làng, một huân chương cho Núp."
